inchikey	smiles	PPARD	ABL1	ADAM17	ADRB1	ADRB2	AKT2	MAOB	CASP3	DHFR	ESR2	PTK2	FGFR1	HMGCR	HSP90AA1	KIT	MAPKAPK2	MAP2K1	NOS1	PARP1	PDE5A	PGR	PTPN1	ROCK1	AKT1	AR	CDK2	CSF1R	ESR1	NR3C1	IGF1R	JAK2	LCK	MET	MMP13	PTGS2	PPARA	PPARG	REN	ADORA2A	ACHE	BACE1	CA2	CYP2C9	CYP3A4	HSD11B1	DPP4	DRD2	DRD3	EGFR	F10	GBA	MAPK1	MAPK14	PLK1	SRC	THRB	F2	KDR	logP	QED
FHZDONGQBOGZHN-MPIMZMORNA-N	S(=O)(=O)(NCC=1OC=CC1)C2=CC(=C(F)C=C2)C(=O)NC=3C=C(C=C(C3)C)C	-10.4	-10.2	-9.5	-10.7	-10.2	-9.2	-10.1	-8.5	-9.8	-8.1	-9.2	-8.7	-8.2	-11.0	-9.0	-8.7	-9.7	-9.0	-9.3	-10.5	-7.7	-7.8	-8.9	-10.0	-7.5	-9.1	-10.0	-8.4	-9.2	-9.1	-9.3	-8.8	-10.0	-10.2	-9.7	-9.8	-10.2	-9.0	-10.1	-10.3	-8.2	-8.1	-9.9	-9.5	-10.2	-9.2	-9.1	-9.7	-9.8	-10.4	-9.0	-8.9	-8.5	-9.8	-9.1	-10.8	-9.4	-8.9	3.766340000000002	0.657003048939334
MZDUKFGPHPOTMC-VXKSDVQFNA-N	C=1(/C=C(\C#N)/C(N)=O)C=CC(=CC1)N2CCN(CC2)C	-6.8	-9.0	-8.4	-7.7	-8.0	-6.7	-8.5	-6.8	-7.6	-5.9	-7.3	-7.9	-6.8	-7.8	-7.4	-6.6	-7.0	-8.4	-7.9	-8.6	-7.9	-6.8	-7.1	-7.4	-7.3	-7.3	-7.9	-6.9	-8.6	-7.5	-7.8	-7.4	-7.7	-8.5	-7.0	-7.3	-7.2	-7.5	-8.3	-8.3	-6.1	-6.5	-7.8	-7.3	-8.0	-7.5	-7.6	-7.0	-7.5	-7.0	-7.8	-7.3	-7.4	-7.1	-6.7	-8.4	-6.6	-7.2	0.8306800000000001	0.6519741845421411
WGKRSAQMLOKEKB-UHFFFAOYNA-N	BrC1=CC=C(C=2N(C(O)=C3NN=C(C23)COC)CC=C)C=C1	-7.1	-6.9	-7.4	-8.5	-7.6	-7.0	-5.0	-6.4	-8.0	-7.5	-8.7	-5.6	-6.9	-7.5	-6.6	-7.3	-7.3	-7.2	-7.4	-8.2	-7.0	-5.5	-7.6	-7.3	-5.4	-8.4	-7.8	-7.5	-7.0	-7.1	-7.7	-6.8	-6.4	-7.4	-8.7	-7.1	-6.3	-6.8	-8.1	-9.6	-6.5	-6.4	-7.2	-7.3	-7.8	-6.6	-6.9	-7.0	-7.4	-6.4	-7.5	-7.7	-6.7	-7.8	-6.9	-7.4	-6.7	-5.6	3.8319000000000023	0.6783690995914339
RBOQJYWZBIOHKR-XBTAAFKLNA-N	C=1C=CC2=NNC(=C2C1)C=3NC4=C(N3)C=CC(=C4)N5CCN(CC5)C	-8.9	-11.2	-10.5	-10.1	-10.6	-9.0	-9.5	-8.2	-9.0	-8.6	-9.2	-11.0	-8.1	-10.3	-10.1	-8.7	-9.7	-9.4	-10.1	-11.4	-7.0	-8.3	-9.0	-9.3	-7.2	-9.3	-10.0	-8.4	-9.3	-8.6	-8.9	-9.7	-9.4	-11.8	-8.3	-9.8	-10.2	-8.6	-9.9	-9.2	-7.9	-8.4	-9.5	-9.8	-10.2	-9.7	-10.9	-10.5	-10.0	-9.0	-9.7	-9.2	-9.2	-9.8	-8.9	-10.1	-8.6	-11.4	2.8580000000000005	0.5923851115560277
YGLUZQXZLOJVIF-UHFFFAOYNA-N	S1C(C(N(C2=CC=C(C=C2)C)C1=S)=N)C(OCC)=O	-7.2	-7.0	-6.9	-6.6	-7.3	-6.3	-6.3	-6.2	-7.0	-6.9	-6.5	-5.6	-5.2	-6.4	-5.4	-6.6	-6.6	-6.1	-7.1	-8.1	-7.8	-5.3	-6.7	-6.9	-7.3	-6.7	-6.5	-7.0	-7.0	-6.3	-7.3	-6.4	-6.8	-7.8	-7.6	-7.1	-5.7	-5.8	-6.7	-9.8	-5.6	-6.2	-7.4	-7.2	-7.3	-6.8	-7.0	-6.6	-6.4	-6.6	-7.4	-7.2	-6.9	-7.0	-6.3	-7.4	-7.0	-6.3	2.742090000000001	0.686000621809788
DANLSJCFZJZGRJ-XBXBPLPCNA-N	BrC1=CC(F)=C(NC(=O)CN(CC(=O)NC=2C=C(OCC)C(OCC)=CC2)C)C=C1	-8.2	-8.0	-8.1	-8.4	-8.4	-8.2	-5.4	-6.6	-8.2	-6.5	-7.3	-7.5	-6.6	-8.4	-7.6	-7.8	-8.6	-7.6	-8.0	-9.0	-6.7	-7.4	-7.4	-8.3	-6.9	-7.2	-7.6	-7.2	-8.2	-7.0	-7.8	-7.0	-8.2	-9.0	-7.5	-8.7	-7.7	-7.6	-8.4	-9.5	-6.3	-7.0	-8.8	-8.0	-9.1	-7.0	-9.5	-9.1	-7.6	-7.8	-7.9	-7.3	-6.5	-8.0	-7.1	-9.0	-7.4	-8.7	3.894600000000003	0.5374011270684973
KDPLJACDNJPAMZ-GLAYEKRENA-N	S1C(=C(C=2C1=CC=CC2)C3=CC=C(C4=CC(C5=C(OC)C(OC)=CC=C5)=C(OCC(=O)O)C=C4)C=C3)CC6=CC=CC=C6	-10.2	-9.1	-8.2	-11.0	-11.9	-9.5	0.6	-9.5	-10.2	-10.3	-9.5	-8.0	-8.9	-9.3	-8.7	-9.1	-9.2	-8.1	-9.2	-11.4	-7.0	-8.3	-8.5	-9.0	-2.3	-10.2	-8.2	-10.4	-2.8	-9.7	-9.3	-9.4	-8.0	-9.9	-9.4	-9.2	-9.4	-10.2	-11.5	-11.1	-7.9	-7.7	-9.7	-11.1	-7.9	-10.4	-9.6	-8.6	-10.0	-9.3	-9.1	-9.5	-8.3	-10.0	-9.5	-8.0	-8.7	-8.8	8.973700000000003	0.1735713246631192
QYZOFLQKVQGIOQ-NPVYFSBINA-N	BrC=1C=C(CC(=O)NN=C2C3=C(NC2=O)C=CC=C3)C=CC1O	-8.9	-10.2	-9.4	-10.1	-9.8	-9.0	-9.8	-7.4	-8.9	-7.7	-8.8	-9.2	-8.4	-8.9	-8.8	-8.2	-8.8	-8.6	-9.9	-10.7	-8.9	-7.6	-8.9	-8.6	-7.8	-9.0	-8.9	-8.1	-9.4	-7.8	-9.2	-9.1	-9.3	-9.7	-9.0	-9.1	-8.3	-8.3	-9.1	-10.2	-7.4	-8.0	-9.5	-9.4	-9.3	-9.5	-10.0	-9.2	-9.6	-8.9	-9.4	-9.0	-7.8	-9.2	-8.3	-9.6	-8.3	-9.1	2.1698	0.7196061163704196
WELMAYVPNYLNDO-PKRZOPRNNA-N	FC=1C(CCNC(=O)CC2=C(C=3C=4OC=C(C(C)(C)C)C4C(=CC3OC2=O)C)C)=CC=CC1	-10.9	-9.7	-10.2	-10.6	-9.9	-8.0	-6.8	-7.6	-11.3	-7.8	-9.0	-9.2	-8.4	-10.5	-9.3	-8.7	-10.2	-10.3	-9.7	-11.3	-6.6	-8.2	-9.7	-10.9	-7.5	-9.5	-9.9	-8.7	-9.5	-9.0	-9.7	-9.3	-9.3	-9.8	-8.4	-9.9	-10.0	-9.3	-10.5	-10.5	-7.5	-8.9	-9.7	-11.0	-9.8	-9.2	-12.0	-10.5	-11.1	-8.6	-10.0	-10.3	-9.6	-10.0	-9.5	-10.3	-8.1	-8.6	5.494040000000005	0.4088429390699759
NDKGCIDWMFLFCL-IDHIREFSNA-N	FC(F)(F)C1=C(CN2CCN(CC2)CC)C=CC(NC(=O)C3=CC(=C(C=C3)C)/C=C/C=4N=CC(NC=5N=C(N=C(N6CCNCC6)C5)C)=NC4)=C1	-10.7	-11.5	-10.2	-10.9	-11.4	-10.4	-0.7	-9.9	-10.8	-10.3	-10.9	-10.6	-9.7	-10.6	-9.4	-11.3	-10.5	-7.9	-10.3	-10.8	-7.9	-8.9	-10.8	-9.9	-8.6	-11.1	-9.5	-10.7	-6.2	-9.8	-10.1	-10.2	-11.4	-12.9	-8.9	-10.5	-9.6	-10.4	-9.9	-10.5	-10.0	-9.6	-12.7	-11.7	-10.3	-11.2	-10.5	-9.2	-11.6	-9.5	-9.6	-11.6	-9.7	-12.0	-9.7	-8.3	-10.4	-13.5	5.615640000000005	0.1928859242178873
